model_name,threshold,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,false_positive_cost,false_negative_cost,business_cost
lightgbm,0.95,0.8537414965986394,1.0,0.0851063829787234,0.1568627450980392,247,0,43,4,1500,15000,645000
xgboost,0.05,0.4013605442176871,0.19718309859154928,0.8936170212765957,0.3230769230769231,76,171,5,42,1500,15000,331500
xgboost,0.1,0.6666666666666666,0.2892561983471074,0.7446808510638298,0.41666666666666663,161,86,12,35,1500,15000,309000
xgboost,0.15,0.7585034013605442,0.35,0.5957446808510638,0.4409448818897637,195,52,19,28,1500,15000,363000
xgboost,0.2,0.7789115646258503,0.36363636363636365,0.5106382978723404,0.4247787610619469,205,42,23,24,1500,15000,408000
xgboost,0.25,0.782312925170068,0.34545454545454546,0.40425531914893614,0.37254901960784315,211,36,28,19,1500,15000,474000
xgboost,0.3,0.826530612244898,0.4523809523809524,0.40425531914893614,0.4269662921348315,224,23,28,19,1500,15000,454500
xgboost,0.35,0.8367346938775511,0.4827586206896552,0.2978723404255319,0.3684210526315789,232,15,33,14,1500,15000,517500
xgboost,0.4,0.8401360544217688,0.5,0.2553191489361702,0.3380281690140845,235,12,35,12,1500,15000,543000
xgboost,0.45,0.8503401360544217,0.5714285714285714,0.2553191489361702,0.35294117647058826,238,9,35,12,1500,15000,538500
xgboost,0.5,0.8537414965986394,0.6666666666666666,0.1702127659574468,0.2711864406779661,243,4,39,8,1500,15000,591000
xgboost,0.55,0.8537414965986394,0.7,0.14893617021276595,0.24561403508771928,244,3,40,7,1500,15000,604500
xgboost,0.6,0.8605442176870748,0.875,0.14893617021276595,0.25454545454545446,246,1,40,7,1500,15000,601500
xgboost,0.65,0.8537414965986394,0.8333333333333334,0.10638297872340426,0.18867924528301885,246,1,42,5,1500,15000,631500
xgboost,0.7,0.8537414965986394,0.8333333333333334,0.10638297872340426,0.18867924528301885,246,1,42,5,1500,15000,631500
